symbol,close,date,high,low,month,open,volume,daily_return,cumulative_return
APOLLOHOSP,6328.55,2024-07-05 05:30:00,6342.85,6159.0,2024-07,6201.0,350300,0.016626372478935947,1.2362984596450455
APOLLOHOSP,6317.45,2024-07-08 05:30:00,6387.95,6292.8,2024-07,6380.0,317731,-0.0017539562775044093,1.234130046200882
APOLLOHOSP,6320.3,2024-07-09 05:30:00,6350.4,6255.9,2024-07,6309.3,176239,0.00045113139003882807,1.2346868010041132
APOLLOHOSP,6375.7,2024-07-10 05:30:00,6417.0,6301.15,2024-07,6320.3,295890,0.008765406705377954,1.2455093329686764
APOLLOHOSP,6389.05,2024-07-11 05:30:00,6411.65,6340.0,2024-07,6395.9,354777,0.002093887729974764,1.2481172896785486
APOLLOHOSP,6353.9,2024-07-12 05:30:00,6419.95,6320.0,2024-07,6385.2,211028,-0.0055016003944249325,1.2412506471053646
APOLLOHOSP,6437.25,2024-07-15 05:30:00,6466.7,6340.5,2024-07,6340.5,359221,0.013117927572042332,1.2575332831928434
APOLLOHOSP,6453.7,2024-07-16 05:30:00,6464.0,6403.0,2024-07,6437.25,298376,0.0025554390461766108,1.2607468328465812
APOLLOHOSP,6520.85,2024-07-18 05:30:00,6539.7,6430.0,2024-07,6432.0,583444,0.010404884020019711,1.273864757420957
APOLLOHOSP,6381.95,2024-07-19 05:30:00,6525.25,6365.0,2024-07,6525.25,228785,-0.02130090402324858,1.2467302864845342
APOLLOHOSP,6402.15,2024-07-22 05:30:00,6434.0,6370.15,2024-07,6381.95,222285,0.003165176787658819,1.2506764082477864
APOLLOHOSP,6403.6,2024-07-23 05:30:00,6474.4,6324.8,2024-07,6404.0,284679,0.00022648641472011732,1.2509596694634655
APOLLOHOSP,6422.6,2024-07-24 05:30:00,6443.95,6350.05,2024-07,6400.0,309594,0.002967081016927997,1.254671368151673
APOLLOHOSP,6385.8,2024-07-25 05:30:00,6434.15,6372.0,2024-07,6404.8,412373,-0.005729766761124799,1.2474823938503026
APOLLOHOSP,6664.55,2024-07-26 05:30:00,6679.95,6393.55,2024-07,6433.0,432671,0.043651539352939306,1.301936920657558
APOLLOHOSP,6681.65,2024-07-29 05:30:00,6777.0,6616.4,2024-07,6777.0,367708,0.002565814646150022,1.3052774494769446
APOLLOHOSP,6641.0,2024-07-30 05:30:00,6713.15,6584.1,2024-07,6681.65,264929,-0.006083826599717068,1.297336367809806
APOLLOHOSP,6615.3,2024-07-31 05:30:00,6686.75,6584.15,2024-07,6664.25,352268,-0.0038698991115795334,1.292315806952599
APOLLOHOSP,6706.4,2024-08-01 05:30:00,6735.0,6606.6,2024-08,6615.3,361725,0.013771106374616426,1.3101124253997416
APOLLOHOSP,6710.15,2024-08-02 05:30:00,6795.85,6681.0,2024-08,6706.4,587569,0.0005591673625193749,1.3108449975092562
APOLLOHOSP,6687.6,2024-08-05 05:30:00,6756.5,6600.05,2024-08,6689.0,907845,-0.003360580612951858,1.3064397972240416
APOLLOHOSP,6657.7,2024-08-06 05:30:00,6735.0,6631.05,2024-08,6689.15,334936,-0.004470961181888944,1.300598755604178
APOLLOHOSP,6720.35,2024-08-07 05:30:00,6768.0,6662.0,2024-08,6701.2,358284,0.009410156660708768,1.3128375936471361
APOLLOHOSP,6541.9,2024-08-08 05:30:00,6744.35,6500.0,2024-08,6740.0,509454,-0.02655367651982421,1.2779769288623657
APOLLOHOSP,6587.85,2024-08-09 05:30:00,6598.0,6530.0,2024-08,6582.25,115598,0.00702395328574279,1.286953379110952
APOLLOHOSP,6502.4,2024-08-12 05:30:00,6591.9,6420.95,2024-08,6550.0,230114,-0.012970847848691291,1.2702605026421447
APOLLOHOSP,6589.4,2024-08-13 05:30:00,6642.0,6510.3,2024-08,6510.3,400126,0.01337967519685046,1.2872561755828846
APOLLOHOSP,6515.85,2024-08-14 05:30:00,6865.0,6460.25,2024-08,6600.0,1723346,-0.011161866027255773,1.2728879946082707
APOLLOHOSP,6686.9,2024-08-16 05:30:00,6714.8,6556.0,2024-08,6556.2,611092,0.02625137165527125,1.3063030504302653
APOLLOHOSP,6724.9,2024-08-19 05:30:00,6756.9,6565.05,2024-08,6750.0,398225,0.005682752845115102,1.3137264478066804
APOLLOHOSP,6672.9,2024-08-20 05:30:00,6788.6,6650.0,2024-08,6775.0,146064,-0.007732456988208014,1.303568114554744
APOLLOHOSP,6752.45,2024-08-21 05:30:00,6788.5,6627.1,2024-08,6675.0,291296,0.011921353534445345,1.3191084109045814
APOLLOHOSP,6830.55,2024-08-22 05:30:00,6858.0,6751.0,2024-08,6760.55,344641,0.011566172278210107,1.3343654460387397
APOLLOHOSP,6860.7,2024-08-23 05:30:00,6927.4,6830.7,2024-08,6864.0,468784,0.004413993016667783,1.3402553257992376
APOLLOHOSP,6780.0,2024-08-26 05:30:00,6878.0,6608.8,2024-08,6830.0,385016,-0.01176264812628447,1.3244903740024825
APOLLOHOSP,6781.45,2024-08-27 05:30:00,6850.75,6734.0,2024-08,6780.0,297297,0.00021386430678460577,1.3247736352181614
APOLLOHOSP,6776.45,2024-08-28 05:30:00,6848.5,6746.55,2024-08,6785.9,250361,-0.0007373054435261261,1.3237968724054752
APOLLOHOSP,6857.2,2024-08-29 05:30:00,6907.35,6760.3,2024-08,6799.9,659960,0.011916268842830702,1.3395715918303572
APOLLOHOSP,6927.5,2024-08-30 05:30:00,6990.0,6851.0,2024-08,6865.0,499581,0.010251997900017518,1.353304876976725
APOLLOHOSP,6880.05,2024-09-02 05:30:00,6999.0,6865.05,2024-09,6989.0,248292,-0.0068495128112594506,1.3440353978843331
APOLLOHOSP,6844.85,2024-09-03 05:30:00,6925.8,6834.45,2024-09,6890.95,361990,-0.005116241887776929,1.3371589876830223
APOLLOHOSP,6930.9,2024-09-04 05:30:00,6938.0,6790.05,2024-09,6838.0,389768,0.012571495357823759,1.3539690756893517
APOLLOHOSP,6934.3,2024-09-05 05:30:00,7044.0,6900.2,2024-09,6930.9,387284,0.0004905567819475376,1.3546332744019782
APOLLOHOSP,6906.8,2024-09-06 05:30:00,6962.45,6857.9,2024-09,6934.3,185503,-0.003965793230751524,1.3492610789322041
APOLLOHOSP,6860.7,2024-09-09 05:30:00,6928.0,6820.45,2024-09,6906.8,304409,-0.006674581571784355,1.3402553257992373
APOLLOHOSP,6921.55,2024-09-10 05:30:00,6975.85,6860.7,2024-09,6900.0,354522,0.008869357354205798,1.3521425292296283
APOLLOHOSP,6900.25,2024-09-11 05:30:00,6953.95,6873.45,2024-09,6900.0,223028,-0.0030773453922893212,1.347981519647585
APOLLOHOSP,7061.8,2024-09-12 05:30:00,7096.45,6915.0,2024-09,6943.0,831152,0.023412195210318565,1.3795407261254762
APOLLOHOSP,7019.15,2024-09-13 05:30:00,7099.95,7008.05,2024-09,7096.2,238034,-0.006039536662040934,1.3712089393332627
APOLLOHOSP,7031.35,2024-09-16 05:30:00,7062.95,7010.5,2024-09,7025.0,226343,0.0017381021918609907,1.3735922405962173
APOLLOHOSP,7008.05,2024-09-17 05:30:00,7152.45,6999.9,2024-09,7031.4,266003,-0.0033137306491641816,1.3690405258890996
APOLLOHOSP,7035.9,2024-09-18 05:30:00,7068.0,6960.75,2024-09,7029.9,251334,0.0039740013270452845,1.3744810947557617
APOLLOHOSP,7030.25,2024-09-19 05:30:00,7124.65,7011.45,2024-09,7068.0,407897,-0.0008030244886936266,1.3733773527774265
APOLLOHOSP,7082.65,2024-09-20 05:30:00,7120.0,7017.9,2024-09,7039.9,493357,0.007453504498417418,1.3836138270543776
APOLLOHOSP,7152.8,2024-09-23 05:30:00,7182.0,7090.4,2024-09,7090.4,254282,0.009904484903249466,1.397317809316365
APOLLOHOSP,7122.0,2024-09-24 05:30:00,7200.0,7076.2,2024-09,7076.2,333949,-0.004306006039592858,1.391300950390218
APOLLOHOSP,7133.45,2024-09-25 05:30:00,7144.95,7074.15,2024-09,7092.75,236185,0.0016076944678460325,1.3935377372312694
APOLLOHOSP,7167.85,2024-09-26 05:30:00,7193.95,7094.4,2024-09,7108.0,405696,0.004822351036315009,1.4002578653825506
APOLLOHOSP,7234.0,2024-09-27 05:30:00,7279.9,7110.0,2024-09,7159.3,772592,0.009228708748090453,1.413180437394389
APOLLOHOSP,7199.15,2024-09-30 05:30:00,7316.95,7160.5,2024-09,7160.5,442794,-0.0048175283384019885,1.4063724005899663
APOLLOHOSP,7153.35,2024-10-01 05:30:00,7243.95,7135.0,2024-10,7201.5,310719,-0.0063618621642831386,1.397425253225761
APOLLOHOSP,6905.95,2024-10-03 05:30:00,7200.0,6855.95,2024-10,7093.35,655420,-0.03458519434950069,1.3490950292540478
APOLLOHOSP,6773.6,2024-10-04 05:30:00,6958.3,6727.35,2024-10,6902.1,429272,-0.019164633395839736,1.3232401176022444
APOLLOHOSP,6773.15,2024-10-07 05:30:00,6857.5,6743.15,2024-10,6801.0,260810,-6.643439234688131e-05,1.3231522089491023
APOLLOHOSP,6924.3,2024-10-08 05:30:00,6940.0,6748.7,2024-10,6819.0,345891,0.022316056783033167,1.3526797487766062
APOLLOHOSP,7008.9,2024-10-09 05:30:00,7070.0,6936.4,2024-10,6959.0,391824,0.01221784151466565,1.3692065755672567
APOLLOHOSP,6955.05,2024-10-10 05:30:00,7055.05,6884.05,2024-10,7054.95,237853,-0.0076830886444376745,1.3586868400746266
APOLLOHOSP,6983.4,2024-10-11 05:30:00,7018.95,6930.1,2024-10,6982.0,75315,0.004076174865744964,1.3642250852225573
APOLLOHOSP,7092.6,2024-10-14 05:30:00,7101.4,6961.75,2024-10,6976.85,168515,0.01563708222355875,1.3855575850516237
APOLLOHOSP,7140.15,2024-10-15 05:30:00,7150.35,7040.0,2024-10,7115.0,322659,0.006704170543947008,1.3948465994002692
APOLLOHOSP,7071.3,2024-10-16 05:30:00,7135.2,7056.0,2024-10,7085.1,223419,-0.009642654566080489,1.3813965754695803
APOLLOHOSP,6989.3,2024-10-17 05:30:00,7102.6,6960.65,2024-10,7089.0,183572,-0.011596170435422049,1.3653776653415266
APOLLOHOSP,6982.9,2024-10-18 05:30:00,7041.65,6950.0,2024-10,6983.3,236651,-0.0009156854048332219,1.364127408941288
APOLLOHOSP,6986.4,2024-10-21 05:30:00,7032.0,6957.5,2024-10,6972.25,222611,0.000501224419653834,1.3648111429101686
APOLLOHOSP,6891.95,2024-10-22 05:30:00,7037.25,6871.55,2024-10,7019.95,112233,-0.01351912286728496,1.3463600933785265
